,code,grade
0,6a2003ad-a05a-41c9-9d48-e98491a90499,90.0
1,04f91058-d0f8-4324-83b2-19c671f433dc,97.0
2,81fdeb2a-e7e5-4a05-8058-d31ea579b0d9,94.0
3,6a903495-c5be-4263-b4dd-75e2bbc30434,97.0
4,6d5742c1-77c4-429c-8f6e-ef1262ca5557,93.0
5,dd898b12-b04b-404e-9b59-f846a162c177,98.0
6,dd898b12-b04b-404e-9b59-f846a162c177,98.0
7,b0640e51-6879-40cb-a4f5-329f952ef99d,98.0
8,668ad17e-0240-49f7-b5a7-d22e502554c6,99.0
9,ba18e4e8-2c26-46d4-ba31-cc21947aabd5,100.0
10,dfe46143-c07c-4bb6-bddc-7458995dba2f,98.0
11,dfe46143-c07c-4bb6-bddc-7458995dba2f,98.0
12,58bee29c-a749-463e-8d56-c4edf0815b3f,100.0
13,139235c7-736c-4237-92f0-92e8c116832c,86.0
14,a948a3e5-70e5-447a-b3b4-baf3661f7b7e,99.0
15,090d6217-5d69-4929-a342-19abab78324f,84.0
16,746b8f06-1e89-43b8-b73c-1121eecfc854,99.0
17,090d6217-5d69-4929-a342-19abab78324f,84.0
18,d846484d-9257-40b4-98b9-6854288e8add,96.0
19,da6b70d5-29f6-491a-ad46-037c77067128,95.0
20,a8270e39-5d70-4f1a-b031-6b4fcc55de01,95.0
21,6312a21b-c6be-44f9-ad81-46307b339fb6,75.0
22,450550b4-3bb9-4b12-a7fd-121ac4a36ea9,95.0
23,e469cc3a-40fc-44e1-a7b7-3b2fbe621a8b,89.0
24,22bb7162-3399-464a-b30b-cf1fc3210b4e,96.0
25,43ff9786-2b47-425b-8bad-e274d9988a0e,98.0
26,51f35201-da77-4b6d-a455-99cc84195c5c,100.0
27,56c6f8dd-f37c-44d2-9820-9459aa34c8af,
28,a70ebc32-7ee1-456f-9fa1-bef302fb0e78  ,90.0
29,c0f51763-0c69-45fb-a4d7-6906d53db43d,90.0
30,941a3ef2-7559-430c-8682-830a04a6864c,99.0
31,67c4a788-ec23-48c4-b6db-d76be6e118d6,86.0
32,67c4a788-ec23-48c4-b6db-d76be6e118d6,86.0
33,50a71154-2269-460c-9341-291221c6ef02,84.0
34,530b4e58-756d-4627-ad08-65ba0457ad42,97.0
35,0e466794-f7f8-4cc2-b07e-070b13a0b5e1,89.0
36,ef5b3fbc-f5d2-4446-bb4f-7d8b2a3026e9,85.0
37,fb8de815-224c-4d06-9fd4-7156d1a9920d,98.0
38,fb8de815-224c-4d06-9fd4-7156d1a9920d,98.0
39,c65a33f5-6acf-4ff1-86fe-6003f165d44e,90.0
40,aa15f751-f65f-4397-b138-df7b8301a12f,93.0
41,db921a07-c234-41c6-8891-ef1b8a22a2f5,96.0
42,4fb21782-81f0-47c1-8831-58a748904a2c,84.0
43,69426dc0-b745-4f89-9c9a-943828d19db9,99.0
44,106ffe99-c787-4d09-9076-4ba411eb68b1,84.0
45,106ffe99-c787-4d09-9076-4ba411eb68b1,84.0
46,106ffe99-c787-4d09-9076-4ba411eb68b1,84.0
47,b13a2e11-1f0a-4f1e-9735-5f0674713593,88.0
48,0ddfae9c-0dbd-4fbe-9e68-c3e0cb73b8fc,80.0
49,f24219d6-07f0-4baf-80ac-18475dc5b66f,93.0
50,223ae726-cb25-49df-a125-c4af3519c8e8,100.0
51,e264c424-a241-43f7-acca-9fbbf21dc1c6,100.0
52,152a7787-ecd1-448f-a98e-8af0826d8215,99.0
